date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1538673524.550000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673524.600000,0.001577,0.001577,0.000000,0.000000,0.000000,0.001577,0.001577,0.000000,0.000000,0.000000
1538673524.650000,0.002675,0.002675,0.000000,0.000000,0.000000,0.002528,0.002528,0.000000,0.000000,0.000000
1538673524.700000,0.003171,0.003171,0.000000,0.000000,0.000000,0.002647,0.002647,0.000000,0.000000,0.000000
1538673524.750000,0.002962,0.002962,0.000000,0.000000,0.000000,0.003677,0.003677,0.000000,0.000000,0.000000
1538673524.800000,0.001353,0.001353,0.000000,0.000000,0.000000,0.001312,0.001312,0.000000,0.000000,0.000000
1538673524.850000,0.001500,0.001500,0.000000,0.000000,0.000000,0.001545,0.001545,0.000000,0.000000,0.000000
1538673524.900000,0.001591,0.001591,0.000000,0.000000,0.000000,0.001591,0.001591,0.000000,0.000000,0.000000
1538673524.950000,0.003515,0.003515,0.000000,0.000000,0.000000,0.003581,0.003581,0.000000,0.000000,0.000000
1538673525.000000,0.002545,0.002545,0.000000,0.000000,0.000000,0.002412,0.002412,0.000000,0.000000,0.000000
1538673525.050000,0.002917,0.002917,0.000000,0.000000,0.000000,0.002667,0.002667,0.000000,0.000000,0.000000
1538673525.100000,0.002056,0.002056,0.000000,0.000000,0.000000,0.002773,0.002773,0.000000,0.000000,0.000000
1538673525.150000,0.001579,0.001579,0.000000,0.000000,0.000000,0.001611,0.001611,0.000000,0.000000,0.000000
1538673525.200000,0.003393,0.003393,0.000000,0.000000,0.000000,0.003321,0.003321,0.000000,0.000000,0.000000
1538673525.250000,0.004838,0.004838,0.000000,0.000000,0.000000,0.004865,0.004865,0.000000,0.000000,0.000000
1538673525.300000,0.002263,0.002263,0.000000,0.000000,0.000000,0.002250,0.002250,0.000000,0.000000,0.000000
1538673525.350000,0.001348,0.001348,0.000000,0.000000,0.000000,0.001318,0.001318,0.000000,0.000000,0.000000
1538673525.400000,0.001524,0.001524,0.000000,0.000000,0.000000,0.001450,0.001450,0.000000,0.000000,0.000000
1538673525.450000,0.002040,0.002040,0.000000,0.000000,0.000000,0.002074,0.002074,0.000000,0.000000,0.000000
1538673525.500000,0.002889,0.002889,0.000000,0.000000,0.000000,0.002889,0.002889,0.000000,0.000000,0.000000
1538673525.550000,0.001500,0.001500,0.000000,0.000000,0.000000,0.001500,0.001500,0.000000,0.000000,0.000000
1538673525.600000,0.001600,0.001600,0.000000,0.000000,0.000000,0.001600,0.001600,0.000000,0.000000,0.000000
1538673525.650000,0.001250,0.001250,0.000000,0.000000,0.000000,0.001250,0.001250,0.000000,0.000000,0.000000
1538673525.700000,0.001444,0.001444,0.000000,0.000000,0.000000,0.001188,0.001188,0.000000,0.000000,0.000000
1538673525.750000,0.001636,0.001636,0.000000,0.000000,0.000000,0.001792,0.001792,0.000000,0.000000,0.000000
1538673525.800000,0.001333,0.001333,0.000000,0.000000,0.000000,0.001375,0.001375,0.000000,0.000000,0.000000
1538673525.850000,0.001200,0.001200,0.000000,0.000000,0.000000,0.001167,0.001167,0.000000,0.000000,0.000000
1538673525.900000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673525.950000,0.001905,0.001905,0.000000,0.000000,0.000000,0.001950,0.001950,0.000000,0.000000,0.000000
1538673526.000000,0.001667,0.001667,0.000000,0.000000,0.000000,0.001357,0.001357,0.000000,0.000000,0.000000
1538673526.050000,0.002136,0.002136,0.000000,0.000000,0.000000,0.002250,0.002250,0.000000,0.000000,0.000000
1538673526.100000,0.001333,0.001333,0.000000,0.000000,0.000000,0.001333,0.001333,0.000000,0.000000,0.000000
1538673526.150000,0.001429,0.001429,0.000000,0.000000,0.000000,0.001429,0.001429,0.000000,0.000000,0.000000
1538673526.200000,0.001182,0.001182,0.000000,0.000000,0.000000,0.001182,0.001182,0.000000,0.000000,0.000000
1538673526.250000,0.001444,0.001444,0.000000,0.000000,0.000000,0.001444,0.001444,0.000000,0.000000,0.000000
1538673526.300000,0.001538,0.001538,0.000000,0.000000,0.000000,0.001538,0.001538,0.000000,0.000000,0.000000
1538673526.350000,0.001467,0.001467,0.000000,0.000000,0.000000,0.001500,0.001500,0.000000,0.000000,0.000000
1538673526.400000,0.001429,0.001429,0.000000,0.000000,0.000000,0.001429,0.001429,0.000000,0.000000,0.000000
1538673526.450000,0.001900,0.001900,0.000000,0.000000,0.000000,0.001857,0.001857,0.000000,0.000000,0.000000
1538673526.500000,0.002811,0.002811,0.000000,0.000000,0.000000,0.002811,0.002811,0.000000,0.000000,0.000000
1538673526.550000,0.002125,0.002125,0.000000,0.000000,0.000000,0.002200,0.002200,0.000000,0.000000,0.000000
1538673526.600000,0.001125,0.001125,0.000000,0.000000,0.000000,0.001125,0.001125,0.000000,0.000000,0.000000
1538673526.650000,0.000917,0.000917,0.000000,0.000000,0.000000,0.000923,0.000923,0.000000,0.000000,0.000000
1538673526.700000,0.001650,0.001650,0.000000,0.000000,0.000000,0.001650,0.001650,0.000000,0.000000,0.000000
1538673526.750000,0.001667,0.001667,0.000000,0.000000,0.000000,0.001684,0.001684,0.000000,0.000000,0.000000
1538673526.800000,0.001765,0.001765,0.000000,0.000000,0.000000,0.001737,0.001737,0.000000,0.000000,0.000000
1538673526.850000,0.002900,0.002900,0.000000,0.000000,0.000000,0.002900,0.002900,0.000000,0.000000,0.000000
1538673526.900000,0.002000,0.002000,0.000000,0.000000,0.000000,0.002040,0.002040,0.000000,0.000000,0.000000
1538673526.950000,0.002174,0.002174,0.000000,0.000000,0.000000,0.001792,0.001792,0.000000,0.000000,0.000000
1538673527.000000,0.001500,0.001500,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673527.050000,0.002233,0.002233,0.000000,0.000000,0.000000,0.002241,0.002241,0.000000,0.000000,0.000000
1538673527.100000,0.003763,0.003763,0.000000,0.000000,0.000000,0.003789,0.003789,0.000000,0.000000,0.000000
1538673527.150000,0.002219,0.002219,0.000000,0.000000,0.000000,0.002125,0.002125,0.000000,0.000000,0.000000
1538673527.200000,0.002731,0.002731,0.000000,0.000000,0.000000,0.002778,0.002778,0.000000,0.000000,0.000000
1538673527.250000,0.001364,0.001364,0.000000,0.000000,0.000000,0.001364,0.001364,0.000000,0.000000,0.000000
1538673527.300000,0.001250,0.001250,0.000000,0.000000,0.000000,0.001286,0.001286,0.000000,0.000000,0.000000
1538673527.350000,0.001556,0.001556,0.000000,0.000000,0.000000,0.001556,0.001556,0.000000,0.000000,0.000000
1538673527.400000,0.005350,0.005350,0.000000,0.000000,0.000000,0.004314,0.004314,0.000000,0.000000,0.000000
1538673527.450000,0.003684,0.003684,0.000000,0.000000,0.000000,0.004636,0.004636,0.000000,0.000000,0.000000
1538673527.500000,0.003267,0.003267,0.000000,0.000000,0.000000,0.002593,0.002593,0.000000,0.000000,0.000000
1538673527.550000,0.002000,0.002000,0.000000,0.000000,0.000000,0.003692,0.003692,0.000000,0.000000,0.000000
1538673527.600000,0.002346,0.002346,0.000000,0.000000,0.000000,0.002087,0.002087,0.000000,0.000000,0.000000
1538673527.650000,0.002811,0.002811,0.000000,0.000000,0.000000,0.002838,0.002838,0.000000,0.000000,0.000000
1538673527.700000,0.002409,0.002409,0.000000,0.000000,0.000000,0.002625,0.002625,0.000000,0.000000,0.000000
1538673527.750000,0.001842,0.001842,0.000000,0.000000,0.000000,0.001850,0.001850,0.000000,0.000000,0.000000
1538673527.800000,0.002000,0.002000,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673527.850000,0.001462,0.001462,0.000000,0.000000,0.000000,0.001462,0.001462,0.000000,0.000000,0.000000
1538673527.900000,0.001926,0.001926,0.000000,0.000000,0.000000,0.001435,0.001435,0.000000,0.000000,0.000000
1538673527.950000,0.006122,0.006122,0.000000,0.000000,0.000000,0.006114,0.006114,0.000000,0.000000,0.000000
1538673528.000000,0.004450,0.004450,0.000000,0.000000,0.000000,0.004375,0.004375,0.000000,0.000000,0.000000
1538673528.050000,0.002065,0.002065,0.000000,0.000000,0.000000,0.002200,0.002200,0.000000,0.000000,0.000000
1538673528.100000,0.002125,0.002125,0.000000,0.000000,0.000000,0.002038,0.002038,0.000000,0.000000,0.000000
1538673528.150000,0.002000,0.002000,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673528.200000,0.001500,0.001500,0.000000,0.000000,0.000000,0.001500,0.001500,0.000000,0.000000,0.000000
1538673528.250000,0.002031,0.002031,0.000000,0.000000,0.000000,0.002031,0.002031,0.000000,0.000000,0.000000
1538673528.300000,0.002048,0.002048,0.000000,0.000000,0.000000,0.002048,0.002048,0.000000,0.000000,0.000000
1538673528.350000,0.001100,0.001100,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673528.400000,0.002421,0.002421,0.000000,0.000000,0.000000,0.002474,0.002474,0.000000,0.000000,0.000000
1538673528.450000,0.002000,0.002000,0.000000,0.000000,0.000000,0.001905,0.001905,0.000000,0.000000,0.000000
1538673528.500000,0.001200,0.001200,0.000000,0.000000,0.000000,0.001214,0.001214,0.000000,0.000000,0.000000
1538673528.550000,0.001696,0.001696,0.000000,0.000000,0.000000,0.001682,0.001682,0.000000,0.000000,0.000000
