date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523129707.150000,141,130,17,16,2,2,2,2,5,5,76,70,4,4,6,4,7,7,0,0,4,4,2,2,0,1,0,0,2,1,0,0,9,8,5,4,0,0,0,0,0,0
1523129707.200000,114,119,15,15,2,2,3,3,6,5,49,52,5,5,2,1,12,12,0,0,8,8,2,2,0,1,1,1,0,2,0,0,8,9,0,0,1,1,0,0,0,0
1523129707.250000,110,112,15,15,2,2,1,1,4,5,45,46,3,3,0,2,16,16,0,0,11,11,0,0,0,0,0,0,2,2,0,0,8,7,2,1,1,1,0,0,0,0
1523129707.300000,123,130,8,9,2,2,2,2,4,4,65,67,0,0,10,10,15,16,0,0,10,11,0,0,0,0,2,2,0,0,0,1,5,6,0,0,0,0,0,0,0,0
1523129707.350000,115,103,11,11,3,2,3,3,8,8,26,24,5,4,6,4,15,15,0,0,19,18,0,0,0,0,1,1,0,0,0,0,9,8,8,4,1,1,0,0,0,0
1523129707.400000,121,119,13,12,1,2,2,2,2,2,59,58,5,6,6,4,14,14,0,0,8,8,0,0,1,1,1,1,0,0,2,1,6,6,1,2,0,0,0,0,0,0
1523129707.450000,71,66,15,16,0,0,1,1,4,4,22,22,0,0,6,3,10,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,8,8,2,1,0,0,0,0,0,0
1523129707.500000,79,91,7,6,0,0,1,1,2,2,20,24,1,1,2,8,11,13,0,0,30,30,0,0,0,0,0,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0
1523129707.550000,123,119,7,8,2,2,3,3,11,10,57,55,2,2,2,2,10,10,0,0,9,9,2,2,5,5,0,0,0,0,0,0,5,5,7,5,1,1,0,0,0,0
1523129707.600000,131,136,12,12,1,1,4,4,9,10,52,54,2,2,2,5,25,25,0,0,7,7,2,2,0,1,0,0,0,0,2,1,10,10,2,1,1,1,0,0,0,0
