date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1524020772.850000,40,41,40,41,0,0,0,0,0,0
1524020772.900000,30,28,30,28,0,0,0,0,0,0
1524020772.950000,68,69,68,69,0,0,0,0,0,0
1524020773.000000,61,61,61,61,0,0,0,0,0,0
1524020773.050000,37,36,37,36,0,0,0,0,0,0
1524020773.100000,20,20,20,20,0,0,0,0,0,0
1524020773.150000,29,30,29,30,0,0,0,0,0,0
1524020773.200000,44,44,44,44,0,0,0,0,0,0
1524020773.250000,32,31,32,31,0,0,0,0,0,0
1524020773.300000,27,29,27,29,0,0,0,0,0,0
1524020773.350000,56,54,56,54,0,0,0,0,0,0
1524020773.400000,27,27,27,27,0,0,0,0,0,0
1524020773.450000,52,54,52,54,0,0,0,0,0,0
1524020773.500000,28,28,28,28,0,0,0,0,0,0
1524020773.550000,34,34,34,34,0,0,0,0,0,0
1524020773.600000,16,16,16,16,0,0,0,0,0,0
1524020773.650000,43,43,43,43,0,0,0,0,0,0
1524020773.700000,26,25,26,25,0,0,0,0,0,0
1524020773.750000,35,36,35,36,0,0,0,0,0,0
1524020773.800000,33,33,33,33,0,0,0,0,0,0
1524020773.850000,24,24,24,24,0,0,0,0,0,0
1524020773.900000,34,34,34,34,0,0,0,0,0,0
1524020773.950000,34,34,34,34,0,0,0,0,0,0
1524020774.000000,39,39,39,39,0,0,0,0,0,0
1524020774.050000,17,17,17,17,0,0,0,0,0,0
1524020774.100000,16,15,16,15,0,0,0,0,0,0
1524020774.150000,43,43,43,43,0,0,0,0,0,0
1524020774.200000,55,53,55,53,0,0,0,0,0,0
1524020774.250000,31,34,31,34,0,0,0,0,0,0
1524020774.300000,14,14,14,14,0,0,0,0,0,0
1524020774.350000,30,29,30,29,0,0,0,0,0,0
1524020774.400000,35,36,35,36,0,0,0,0,0,0
1524020774.450000,23,21,23,21,0,0,0,0,0,0
1524020774.500000,50,51,50,51,0,0,0,0,0,0
1524020774.550000,40,41,40,41,0,0,0,0,0,0
1524020774.600000,14,14,14,14,0,0,0,0,0,0
1524020774.650000,38,38,38,38,0,0,0,0,0,0
1524020774.700000,42,42,42,42,0,0,0,0,0,0
1524020774.750000,26,25,26,25,0,0,0,0,0,0
1524020774.800000,45,44,45,44,0,0,0,0,0,0
1524020774.850000,51,53,51,53,0,0,0,0,0,0
1524020774.900000,47,46,47,46,0,0,0,0,0,0
1524020774.950000,32,32,32,32,0,0,0,0,0,0
1524020775.000000,36,36,36,36,0,0,0,0,0,0
1524020775.050000,57,57,57,57,0,0,0,0,0,0
1524020775.100000,54,55,54,55,0,0,0,0,0,0
1524020775.150000,12,12,12,12,0,0,0,0,0,0
1524020775.200000,41,40,41,40,0,0,0,0,0,0
1524020775.250000,31,30,31,30,0,0,0,0,0,0
1524020775.300000,18,20,18,20,0,0,0,0,0,0
1524020775.350000,45,44,45,44,0,0,0,0,0,0
1524020775.400000,17,18,17,18,0,0,0,0,0,0
1524020775.450000,24,22,24,22,0,0,0,0,0,0
1524020775.500000,33,35,33,35,0,0,0,0,0,0
1524020775.550000,36,36,36,36,0,0,0,0,0,0
1524020775.600000,33,33,33,33,0,0,0,0,0,0
1524020775.650000,12,12,12,12,0,0,0,0,0,0
1524020775.700000,5,5,5,5,0,0,0,0,0,0
1524020775.750000,10,9,10,9,0,0,0,0,0,0
1524020775.800000,41,38,41,38,0,0,0,0,0,0
1524020775.850000,28,31,28,31,0,0,0,0,0,0
1524020775.900000,26,27,26,27,0,0,0,0,0,0
1524020775.950000,15,15,15,15,0,0,0,0,0,0
1524020776.000000,12,12,12,12,0,0,0,0,0,0
1524020776.050000,12,12,12,12,0,0,0,0,0,0
1524020776.100000,44,41,44,41,0,0,0,0,0,0
1524020776.150000,34,37,34,37,0,0,0,0,0,0
1524020776.200000,33,33,33,33,0,0,0,0,0,0
1524020776.250000,34,34,34,34,0,0,0,0,0,0
1524020776.300000,35,35,35,35,0,0,0,0,0,0
1524020776.350000,26,24,26,24,0,0,0,0,0,0
1524020776.400000,45,46,45,46,0,0,0,0,0,0
1524020776.450000,11,12,11,12,0,0,0,0,0,0
1524020776.500000,30,29,30,29,0,0,0,0,0,0
1524020776.550000,25,26,25,26,0,0,0,0,0,0
1524020776.600000,72,68,72,68,0,0,0,0,0,0
1524020776.650000,46,50,46,50,0,0,0,0,0,0
1524020776.700000,33,33,33,33,0,0,0,0,0,0
1524020776.750000,27,27,27,27,0,0,0,0,0,0
1524020776.800000,28,24,28,24,0,0,0,0,0,0
1524020776.850000,39,41,39,41,0,0,0,0,0,0
1524020776.900000,29,29,29,29,0,0,0,0,0,0
1524020776.950000,25,25,25,25,0,0,0,0,0,0
1524020777.000000,15,17,15,17,0,0,0,0,0,0
1524020777.050000,28,28,28,28,0,0,0,0,0,0
1524020777.100000,34,30,34,30,0,0,0,0,0,0
1524020777.150000,38,40,38,40,0,0,0,0,0,0
1524020777.200000,17,18,17,18,0,0,0,0,0,0
1524020777.250000,43,43,43,43,0,0,0,0,0,0
1524020777.300000,35,34,35,34,0,0,0,0,0,0
1524020777.350000,60,61,60,61,0,0,0,0,0,0
1524020777.400000,47,47,47,47,0,0,0,0,0,0
1524020777.450000,43,44,43,44,0,0,0,0,0,0
1524020777.500000,27,27,27,27,0,0,0,0,0,0
1524020777.550000,8,6,8,6,0,0,0,0,0,0
1524020777.600000,28,30,28,30,0,0,0,0,0,0
1524020777.650000,25,24,25,24,0,0,0,0,0,0
1524020777.700000,28,27,28,27,0,0,0,0,0,0
1524020777.750000,44,45,44,45,0,0,0,0,0,0
1524020777.800000,26,27,26,27,0,0,0,0,0,0
1524020777.850000,28,27,28,27,0,0,0,0,0,0
1524020777.900000,17,18,17,18,0,0,0,0,0,0
1524020777.950000,18,17,18,17,0,0,0,0,0,0
1524020778.000000,31,32,31,32,0,0,0,0,0,0
1524020778.050000,49,48,49,48,0,0,0,0,0,0
1524020778.100000,13,14,13,14,0,0,0,0,0,0
1524020778.150000,43,42,43,42,0,0,0,0,0,0
1524020778.200000,44,45,44,45,0,0,0,0,0,0
1524020778.250000,57,56,57,56,0,0,0,0,0,0
1524020778.300000,33,34,33,34,0,0,0,0,0,0
1524020778.350000,29,29,29,29,0,0,0,0,0,0
1524020778.400000,20,20,20,20,0,0,0,0,0,0
1524020778.450000,14,13,14,13,0,0,0,0,0,0
1524020778.500000,10,10,10,10,0,0,0,0,0,0
1524020778.550000,33,33,33,33,0,0,0,0,0,0
1524020778.600000,28,28,28,28,0,0,0,0,0,0
1524020778.650000,61,58,61,58,0,0,0,0,0,0
1524020778.700000,35,39,35,39,0,0,0,0,0,0
1524020778.750000,22,22,22,22,0,0,0,0,0,0
1524020778.800000,24,24,24,24,0,0,0,0,0,0
1524020778.850000,61,61,61,61,0,0,0,0,0,0
1524020778.900000,39,36,39,36,0,0,0,0,0,0
1524020778.950000,26,28,26,28,0,0,0,0,0,0
1524020779.000000,27,28,27,28,0,0,0,0,0,0
1524020779.050000,43,43,43,43,0,0,0,0,0,0
1524020779.100000,29,29,29,29,0,0,0,0,0,0
1524020779.150000,66,64,66,64,0,0,0,0,0,0
1524020779.200000,40,39,40,39,0,0,0,0,0,0
1524020779.250000,10,13,10,13,0,0,0,0,0,0
1524020779.300000,34,34,34,34,0,0,0,0,0,0
1524020779.350000,23,22,23,22,0,0,0,0,0,0
1524020779.400000,61,60,61,60,0,0,0,0,0,0
1524020779.450000,25,26,25,26,0,0,0,0,0,0
1524020779.500000,30,30,30,30,0,0,0,0,0,0
1524020779.550000,39,39,39,39,0,0,0,0,0,0
1524020779.600000,55,56,55,56,0,0,0,0,0,0
1524020779.650000,29,29,29,29,0,0,0,0,0,0
1524020779.700000,16,16,16,16,0,0,0,0,0,0
1524020779.750000,32,32,32,32,0,0,0,0,0,0
1524020779.800000,31,31,31,31,0,0,0,0,0,0
1524020779.850000,34,34,34,34,0,0,0,0,0,0
1524020779.900000,29,29,29,29,0,0,0,0,0,0
1524020779.950000,36,35,36,35,0,0,0,0,0,0
1524020780.000000,19,20,19,20,0,0,0,0,0,0
1524020780.050000,26,25,26,25,0,0,0,0,0,0
1524020780.100000,48,45,48,45,0,0,0,0,0,0
1524020780.150000,55,56,55,56,0,0,0,0,0,0
1524020780.200000,39,39,39,39,0,0,0,0,0,0
1524020780.250000,20,23,20,23,0,0,0,0,0,0
1524020780.300000,15,15,15,15,0,0,0,0,0,0
1524020780.350000,25,24,25,24,0,0,0,0,0,0
1524020780.400000,71,71,71,71,0,0,0,0,0,0
1524020780.450000,43,43,43,43,0,0,0,0,0,0
1524020780.500000,28,29,28,29,0,0,0,0,0,0
1524020780.550000,37,37,37,37,0,0,0,0,0,0
1524020780.600000,24,24,24,24,0,0,0,0,0,0
1524020780.650000,50,49,50,49,0,0,0,0,0,0
1524020780.700000,22,23,22,23,0,0,0,0,0,0
1524020780.750000,48,48,48,48,0,0,0,0,0,0
1524020780.800000,7,7,7,7,0,0,0,0,0,0
1524020780.850000,19,19,19,19,0,0,0,0,0,0
1524020780.900000,39,37,39,37,0,0,0,0,0,0
1524020780.950000,26,27,26,27,0,0,0,0,0,0
1524020781.000000,52,50,52,50,0,0,0,0,0,0
1524020781.050000,60,63,60,63,0,0,0,0,0,0
1524020781.100000,31,31,31,31,0,0,0,0,0,0
1524020781.150000,39,38,39,38,0,0,0,0,0,0
1524020781.200000,48,49,48,49,0,0,0,0,0,0
1524020781.250000,19,16,19,16,0,0,0,0,0,0
1524020781.300000,52,55,52,55,0,0,0,0,0,0
1524020781.350000,24,24,24,24,0,0,0,0,0,0
1524020781.400000,30,30,30,30,0,0,0,0,0,0
1524020781.450000,41,39,41,39,0,0,0,0,0,0
1524020781.500000,41,43,41,43,0,0,0,0,0,0
1524020781.550000,33,31,33,31,0,0,0,0,0,0
1524020781.600000,19,21,19,21,0,0,0,0,0,0
1524020781.650000,12,12,12,12,0,0,0,0,0,0
1524020781.700000,48,47,48,47,0,0,0,0,0,0
1524020781.750000,61,59,61,59,0,0,0,0,0,0
1524020781.800000,34,37,34,37,0,0,0,0,0,0
1524020781.850000,33,33,33,33,0,0,0,0,0,0
1524020781.900000,50,49,50,49,0,0,0,0,0,0
1524020781.950000,8,7,8,7,0,0,0,0,0,0
1524020782.000000,35,33,35,33,0,0,0,0,0,0
1524020782.050000,35,35,35,35,0,0,0,0,0,0
1524020782.100000,40,44,40,44,0,0,0,0,0,0
1524020782.150000,31,30,31,30,0,0,0,0,0,0
1524020782.200000,37,37,37,37,0,0,0,0,0,0
1524020782.250000,28,28,28,28,0,0,0,0,0,0
1524020782.300000,32,33,32,33,0,0,0,0,0,0
1524020782.350000,31,29,31,29,0,0,0,0,0,0
1524020782.400000,39,41,39,41,0,0,0,0,0,0
1524020782.450000,11,10,11,10,0,0,0,0,0,0
1524020782.500000,40,41,40,41,0,0,0,0,0,0
1524020782.550000,28,28,28,28,0,0,0,0,0,0
1524020782.600000,39,39,39,39,0,0,0,0,0,0
1524020782.650000,24,24,24,24,0,0,0,0,0,0
1524020782.700000,22,22,22,22,0,0,0,0,0,0
1524020782.750000,8,8,8,8,0,0,0,0,0,0
1524020782.800000,27,26,27,26,0,0,0,0,0,0
1524020782.850000,42,41,42,41,0,0,0,0,0,0
1524020782.900000,45,45,45,45,0,0,0,0,0,0
1524020782.950000,40,39,40,39,0,0,0,0,0,0
1524020783.000000,43,45,43,45,0,0,0,0,0,0
1524020783.050000,24,24,24,24,0,0,0,0,0,0
1524020783.100000,30,30,30,30,0,0,0,0,0,0
1524020783.150000,43,43,43,43,0,0,0,0,0,0
1524020783.200000,14,15,14,15,0,0,0,0,0,0
1524020783.250000,32,31,32,31,0,0,0,0,0,0
1524020783.300000,23,23,23,23,0,0,0,0,0,0
1524020783.350000,8,9,8,9,0,0,0,0,0,0
1524020783.400000,24,24,24,24,0,0,0,0,0,0
1524020783.450000,35,35,35,35,0,0,0,0,0,0
1524020783.500000,23,23,23,23,0,0,0,0,0,0
1524020783.550000,36,34,36,34,0,0,0,0,0,0
1524020783.600000,32,33,32,33,0,0,0,0,0,0
1524020783.650000,31,32,31,32,0,0,0,0,0,0
1524020783.700000,36,36,36,36,0,0,0,0,0,0
1524020783.750000,52,48,52,48,0,0,0,0,0,0
1524020783.800000,37,38,37,38,0,0,0,0,0,0
1524020783.850000,50,53,50,53,0,0,0,0,0,0
1524020783.900000,39,38,39,38,0,0,0,0,0,0
1524020783.950000,28,29,28,29,0,0,0,0,0,0
1524020784.000000,15,14,15,14,0,0,0,0,0,0
1524020784.050000,31,31,31,31,0,0,0,0,0,0
1524020784.100000,13,12,13,12,0,0,0,0,0,0
1524020784.150000,46,47,46,47,0,0,0,0,0,0
1524020784.200000,18,19,18,19,0,0,0,0,0,0
1524020784.250000,22,22,22,22,0,0,0,0,0,0
1524020784.300000,46,43,46,43,0,0,0,0,0,0
1524020784.350000,31,34,31,34,0,0,0,0,0,0
1524020784.400000,47,47,47,47,0,0,0,0,0,0
1524020784.450000,21,21,21,21,0,0,0,0,0,0
1524020784.500000,28,27,28,27,0,0,0,0,0,0
1524020784.550000,12,13,12,13,0,0,0,0,0,0
1524020784.600000,48,47,48,47,0,0,0,0,0,0
1524020784.650000,46,45,46,45,0,0,0,0,0,0
1524020784.700000,40,39,40,39,0,0,0,0,0,0
1524020784.750000,25,27,25,27,0,0,0,0,0,0
1524020784.800000,31,32,31,32,0,0,0,0,0,0
1524020784.850000,18,18,18,18,0,0,0,0,0,0
1524020784.900000,27,27,27,27,0,0,0,0,0,0
1524020784.950000,57,54,57,54,0,0,0,0,0,0
1524020785.000000,51,54,51,54,0,0,0,0,0,0
1524020785.050000,27,26,27,26,0,0,0,0,0,0
1524020785.100000,37,38,37,38,0,0,0,0,0,0
1524020785.150000,16,16,16,16,0,0,0,0,0,0
1524020785.200000,37,37,37,37,0,0,0,0,0,0
1524020785.250000,33,33,33,33,0,0,0,0,0,0
1524020785.300000,15,15,15,15,0,0,0,0,0,0
1524020785.350000,15,14,15,14,0,0,0,0,0,0
1524020785.400000,38,38,38,38,0,0,0,0,0,0
1524020785.450000,20,21,20,21,0,0,0,0,0,0
1524020785.500000,37,36,37,36,0,0,0,0,0,0
1524020785.550000,35,36,35,36,0,0,0,0,0,0
1524020785.600000,48,48,48,48,0,0,0,0,0,0
1524020785.650000,18,18,18,18,0,0,0,0,0,0
1524020785.700000,42,40,42,40,0,0,0,0,0,0
1524020785.750000,28,29,28,29,0,0,0,0,0,0
1524020785.800000,46,47,46,47,0,0,0,0,0,0
1524020785.850000,36,35,36,35,0,0,0,0,0,0
1524020785.900000,26,27,26,27,0,0,0,0,0,0
1524020785.950000,12,12,12,12,0,0,0,0,0,0
1524020786.000000,42,41,42,41,0,0,0,0,0,0
1524020786.050000,33,34,33,34,0,0,0,0,0,0
1524020786.100000,38,36,38,36,0,0,0,0,0,0
1524020786.150000,22,24,22,24,0,0,0,0,0,0
1524020786.200000,49,48,49,48,0,0,0,0,0,0
1524020786.250000,27,27,27,27,0,0,0,0,0,0
1524020786.300000,47,47,47,47,0,0,0,0,0,0
1524020786.350000,30,30,30,30,0,0,0,0,0,0
1524020786.400000,38,39,38,39,0,0,0,0,0,0
1524020786.450000,22,22,22,22,0,0,0,0,0,0
1524020786.500000,26,26,26,26,0,0,0,0,0,0
1524020786.550000,33,33,33,33,0,0,0,0,0,0
1524020786.600000,44,43,44,43,0,0,0,0,0,0
1524020786.650000,21,22,21,22,0,0,0,0,0,0
1524020786.700000,38,38,38,38,0,0,0,0,0,0
1524020786.750000,21,21,21,21,0,0,0,0,0,0
1524020786.800000,21,20,21,20,0,0,0,0,0,0
1524020786.850000,62,62,62,62,0,0,0,0,0,0
1524020786.900000,52,51,52,51,0,0,0,0,0,0
1524020786.950000,48,49,48,49,0,0,0,0,0,0
1524020787.000000,31,32,31,32,0,0,0,0,0,0
1524020787.050000,38,37,38,37,0,0,0,0,0,0
1524020787.100000,50,51,50,51,0,0,0,0,0,0
1524020787.150000,35,34,35,34,0,0,0,0,0,0
1524020787.200000,38,38,38,38,0,0,0,0,0,0
1524020787.250000,21,22,21,22,0,0,0,0,0,0
1524020787.300000,52,51,52,51,0,0,0,0,0,0
1524020787.350000,56,53,56,53,0,0,0,0,0,0
1524020787.400000,45,48,45,48,0,0,0,0,0,0
1524020787.450000,26,26,26,26,0,0,0,0,0,0
1524020787.500000,35,35,35,35,0,0,0,0,0,0
1524020787.550000,46,45,46,45,0,0,0,0,0,0
1524020787.600000,39,41,39,41,0,0,0,0,0,0
1524020787.650000,58,53,58,53,0,0,0,0,0,0
1524020787.700000,64,68,64,68,0,0,0,0,0,0
1524020787.750000,48,48,48,48,0,0,0,0,0,0
1524020787.800000,46,46,46,46,0,0,0,0,0,0
1524020787.850000,51,52,51,52,0,0,0,0,0,0
1524020787.900000,33,31,33,31,0,0,0,0,0,0
1524020787.950000,39,37,39,37,0,0,0,0,0,0
1524020788.000000,49,47,49,47,0,0,0,0,0,0
1524020788.050000,58,62,58,62,0,0,0,0,0,0
1524020788.100000,45,47,45,47,0,0,0,0,0,0
1524020788.150000,36,33,36,33,0,0,0,0,0,0
1524020788.200000,49,50,49,50,0,0,0,0,0,0
1524020788.250000,25,27,25,27,0,0,0,0,0,0
1524020788.300000,41,40,41,40,0,0,0,0,0,0
1524020788.350000,35,36,35,36,0,0,0,0,0,0
1524020788.400000,50,48,50,48,0,0,0,0,0,0
1524020788.450000,45,47,45,47,0,0,0,0,0,0
1524020788.500000,44,43,44,43,0,0,0,0,0,0
1524020788.550000,26,27,26,27,0,0,0,0,0,0
1524020788.600000,43,41,43,41,0,0,0,0,0,0
1524020788.650000,44,46,44,46,0,0,0,0,0,0
1524020788.700000,46,44,46,44,0,0,0,0,0,0
1524020788.750000,20,22,20,22,0,0,0,0,0,0
1524020788.800000,21,21,21,21,0,0,0,0,0,0
1524020788.850000,37,37,37,37,0,0,0,0,0,0
1524020788.900000,30,30,30,30,0,0,0,0,0,0
1524020788.950000,30,30,30,30,0,0,0,0,0,0
1524020789.000000,21,20,21,20,0,0,0,0,0,0
1524020789.050000,25,25,25,25,0,0,0,0,0,0
1524020789.100000,10,11,10,11,0,0,0,0,0,0
1524020789.150000,23,23,23,23,0,0,0,0,0,0
1524020789.200000,28,28,28,28,0,0,0,0,0,0
1524020789.250000,44,43,44,43,0,0,0,0,0,0
1524020789.300000,47,45,47,45,0,0,0,0,0,0
1524020789.350000,29,31,29,31,0,0,0,0,0,0
1524020789.400000,24,25,24,25,0,0,0,0,0,0
1524020789.450000,35,35,35,35,0,0,0,0,0,0
1524020789.500000,25,24,25,24,0,0,0,0,0,0
1524020789.550000,23,24,23,24,0,0,0,0,0,0
1524020789.600000,23,23,23,23,0,0,0,0,0,0
1524020789.650000,29,29,29,29,0,0,0,0,0,0
1524020789.700000,23,23,23,23,0,0,0,0,0,0
1524020789.750000,32,31,32,31,0,0,0,0,0,0
1524020789.800000,34,35,34,35,0,0,0,0,0,0
1524020789.850000,39,36,39,36,0,0,0,0,0,0
